reason_excluded,tier,ranking_score,field,id,source_id,ra,dec,sky_group,picked,in_any_list,in_hviding25_B1,y,mag_f444w
published-or-labelled,equal_burden,0.98915523,primer-uds-south,75481,125040,34.46287218983697,-5.191959391243991,119607,True,True,False,,24.26068973061449
published-or-labelled,equal_burden,0.9891547,primer-uds-north,50135,94497,34.397484075924076,-5.135116306276058,90271,True,True,False,1.0,25.64726582684428
published-or-labelled,equal_burden,0.9891481,primer-cosmos-east,60909,399498,150.14236897693283,2.390020253506605,371388,True,True,False,,26.226815445413795
published-or-labelled,equal_burden,0.9891337,ceers-full,6618,629125,215.13702105738352,52.9556433911413,589148,True,True,False,,26.472162262533477
published-or-labelled,equal_burden,0.98912907,gds,20018,170447,53.067289473792165,-27.838331669197505,162383,True,True,False,,26.441909396742176
rule-selected,equal_burden,0.98911554,primer-cosmos-east,66286,436347,150.18779370852513,2.4112909221484355,406489,True,False,False,,25.68660194994213
published-or-labelled,equal_burden,0.98911244,ceers-full,53527,582061,214.89224285864432,52.877409803779095,544595,True,True,True,1.0,24.184025012716724
published-or-labelled,equal_burden,0.98910165,primer-uds-north,70315,93008,34.394404933215085,-5.106746622789906,88831,True,True,False,,25.230745185489713
published-or-labelled,equal_burden,0.98908883,primer-cosmos-west,84507,362724,150.10690198647086,2.360047161871554,337233,True,True,False,1.0,25.613287065227556
rule-selected,equal_burden,0.98908144,primer-cosmos-west,83852,362902,150.10705983249056,2.357608346540669,337393,True,False,False,,25.365443656755737
published-or-labelled,equal_burden,0.989081,primer-uds-north,84281,74887,34.356131029452385,-5.084246196341168,71433,True,True,False,,26.367618387585992
rule-selected,equal_burden,0.98907614,gdn,73092,465019,189.0611858481668,62.28412300132678,434053,True,False,False,,25.456321543866117
rule-selected,equal_burden,0.9890649,gdn,41698,493448,189.21258236678057,62.22743352936158,461066,True,False,False,,24.97246448534737
published-or-labelled,equal_burden,0.98905945,primer-cosmos-east,40812,378189,150.12091825524493,2.3179323730169585,351259,True,True,False,1.0,25.25905370070783
published-or-labelled,equal_burden,0.9890462,primer-uds-north,24564,114374,34.43898599483391,-5.1705432974252155,109356,True,True,False,,25.191444312894053
published-or-labelled,equal_burden,0.98904264,primer-cosmos-east,7798,406158,150.14914835538573,2.1839510400646986,377691,True,True,False,,24.822656031455605
published-or-labelled,equal_burden,0.98904175,primer-cosmos-east,22285,406347,150.14935749103086,2.252562713368088,377876,True,True,False,,26.150240023643768
rule-selected,equal_burden,0.9890131,primer-cosmos-west,58123,356895,150.1020442890523,2.282627779303731,332023,True,False,False,,25.5246503054495
published-or-labelled,equal_burden,0.9890053,primer-cosmos-west,88282,320478,150.07423242477125,2.373890590864809,299872,False,True,False,,24.626110202845762
rule-selected,equal_burden,0.9890044,gdn,85444,486326,189.18395111123795,62.3099720373472,454343,True,False,False,,25.796090544407306
rule-selected,equal_burden,0.9889977,gdn,67103,465618,189.06589003676035,62.27325112736845,434630,True,False,False,,26.62779708206979
rule-selected,equal_burden,0.98897886,ceers-full,19184,605299,214.97918410095284,52.86575685047244,566604,True,False,False,,25.7627295104008
published-or-labelled,equal_burden,0.98897856,primer-cosmos-west,102740,388953,150.13169253578647,2.4356825515025977,361412,True,True,False,,24.216861322760316
published-or-labelled,equal_burden,0.9889686,gdn,6046,519381,189.29394907991042,62.1530917151787,485317,False,True,False,1.0,26.318670244616747
published-or-labelled,equal_burden,0.9889685,gds-sw,43476,157134,53.03490293102044,-27.852180251203606,150133,True,True,False,1.0,25.49754142358446
published-or-labelled,equal_burden,0.9889014,gds-sw,53518,183031,53.0869690849623,-27.831897750458214,173971,True,True,False,,26.30069756148751
published-or-labelled,equal_burden,0.98888665,ceers-full,44889,582122,214.89247943623846,52.85689047675586,544650,True,True,True,1.0,25.719589691594102
published-or-labelled,equal_burden,0.9888606,primer-cosmos-east,26901,373198,150.11617717399793,2.2705568088035446,346641,True,True,False,,26.426413287548222
published-or-labelled,equal_burden,0.98881346,primer-uds-north,1951,97282,34.40309797177373,-5.208186345137336,92954,True,True,False,,25.222791712125062
published-or-labelled,equal_burden,0.98872036,primer-uds-south,29813,120751,34.453354870970635,-5.270716907932999,115504,True,True,True,1.0,25.985708197100642
published-or-labelled,equal_burden,0.98871857,primer-cosmos-west,41188,321791,150.07522152984626,2.244680318881772,301018,True,True,False,,25.694174368946623
rule-selected,equal_burden,0.9887075,gds-sw,46383,157620,53.036387572876066,-27.846563563386713,150579,True,False,False,,25.3494652330809
published-or-labelled,equal_burden,0.9886816,ceers-full,75809,599723,214.95683755263494,52.97315297298809,561309,True,True,False,,26.0703449202784
rule-selected,equal_burden,0.98867875,gdn,17857,513542,189.27492861148846,62.180166150140785,479855,True,False,False,,25.892187425414917
published-or-labelled,equal_burden,0.9886353,primer-uds-north,32858,108397,34.42591529014293,-5.159179447563612,103618,True,True,False,,25.92749622182604
published-or-labelled,equal_burden,0.98861676,gds,19200,205277,53.12539986599142,-27.839967619304478,194693,True,True,False,,26.755145920394376
